Matrix Size,Poor OpenMP,Thrashing OpenMP,'Possible' Thrashing OpenMP,Correct OpenMP
32768,3.77825,26.0637,2.21871,2.50927
30720,2.55647,19.8577,1.46095,1.44449
28672,2.35961,15.8506,1.2687,1.2932
26624,2.04865,13.2468,1.09236,1.15551
24576,1.78638,10.8141,0.931263,0.928036
22528,1.53257,8.82704,0.78232,0.779146
20480,1.47103,414.073,0.673247,0.693684
18432,1.151,5.34925,0.526092,0.525992
16384,1.00694,4.44384,0.466719,0.499118
14336,0.74025,3.02594,0.316821,0.314754
12288,0.65974,2.21291,0.232465,0.233208
10240,0.608639,1.64681,0.179073,0.180081
8192,0.38117,0.987788,0.103359,0.103329
6144,0.264532,0.533103,0.0580826,0.0582006
4096,0.150066,0.23056,0.0268038,0.0260382
